source,target,http_code,notes
/software/chemdbsoft/advanced-structure-search.html,/software/chemdbsoft/advanced-structure-search/,301,advanced-structure-search
/software/chemdbsoft/chemical-glossary.html,/software/chemdbsoft/chemical-glossary/,301,chemical-glossary
/software/chemdbsoft/presentation-graphics.html,/software/chemdbsoft/presentation-graphics/,301,presentation-graphics
/software/chemdbsoft/chemdbsoft-search-faq.html,/software/chemdbsoft/chemdbsoft-search-faq/,301,chemdbsoft-search-faq
/software/slipper-logp-logd-logsw-fa/slipper-prediction-of-logp-logd-logsw-fa.html,/software/slipper-logp-logd-logsw-fa/slipper-prediction-of-logp-logd-logsw-fa/,301,slipper-prediction-of-logp-logd-logsw-fa
/software/slipper-logp-logd-logsw-fa/calculation-method.html,/software/slipper-logp-logd-logsw-fa/calculation-method/,301,calculation-method
/software/slipper-logp-logd-logsw-fa/prediction-for-a-single-compound.html,/software/slipper-logp-logd-logsw-fa/prediction-for-a-single-compound/,301,prediction-for-a-single-compound
/software/slipper-logp-logd-logsw-fa/prediction-from-an-sdf-file.html,/software/slipper-logp-logd-logsw-fa/prediction-from-an-sdf-file/,301,prediction-from-an-sdf-file
/software/slipper-logp-logd-logsw-fa/prediction-for-a-database.html,/software/slipper-logp-logd-logsw-fa/prediction-for-a-database/,301,prediction-for-a-database
/software/slipper-logp-logd-logsw-fa/references.html,/software/slipper-logp-logd-logsw-fa/references/,301,references
/software/hybot/hybot-manual/print.html,/software/hybot/hybot-manual/print/,301,Untitled
/about-timtec/print.html,/about-timtec/print/,301,Untitled
/template-based-compound-libraries.html,/template-based-compound-libraries/,301,template-based-compound-libraries
/contact-us/print.html,/contact-us/print/,301,Untitled
/our-customers/print.html,/our-customers/print/,301,Untitled
/partners/print.html,/partners/print/,301,Untitled
/timtec-network/print.html,/timtec-network/print/,301,Untitled
/grants-and-funding-web-resources/print.html,/grants-and-funding-web-resources/print/,301,Untitled
/terms-of-sale/print.html,/terms-of-sale/print/,301,Untitled
/faqs/general/faqs/print.html,/faqs/general/faqs/print/,301,Untitled
/faqs/general,/faqs/general/,301,general
/index.php/home/chemical-compounds/news/news/home/download-databases.html,/index.php/home/chemical-compounds/news/news/home/download-databases/,301,Download Databases
/index.php/home/chemical-compounds/news/news/user/register.html,/index.php/home/chemical-compounds/news/news/user/register/,301,User Registration
/index.php/home/chemical-compounds/news/news/screening-compound-libraries.html,/index.php/home/chemical-compounds/news/news/screening-compound-libraries/,301,screening-compound-libraries
/index.php/home/chemical-compounds/news/news/targeted.html,/index.php/home/chemical-compounds/news/news/targeted/,301,targeted
