source_path,source_url,title,post_type,wp_slug,content_length
/news/timtec-in-publications/timtec-in-natural-product-reports-article.html,https://www.timtec.net/news/timtec-in-publications/timtec-in-natural-product-reports-article.html,timtec-in-natural-product-reports-article,post,news/timtec-in-publications/timtec-in-natural-product-reports-article,218
/gossypol-and-derivatives.html,https://www.timtec.net/gossypol-and-derivatives.html,gossypol-and-derivatives,page,gossypol-and-derivatives,156
/natural-products-in-publications.html,https://www.timtec.net/natural-products-in-publications.html,natural-products-in-publications,page,natural-products-in-publications,172
/fbl-fragment-based-library/print.html,https://www.timtec.net/fbl-fragment-based-library/print.html,Untitled,page,fbl-fragment-based-library/print,162
/template-based-compound-libraries/print.html,https://www.timtec.net/template-based-compound-libraries/print.html,Untitled,page,template-based-compound-libraries/print,174
/diversity-compound-libraries/print.html,https://www.timtec.net/diversity-compound-libraries/print.html,Untitled,page,diversity-compound-libraries/print,164
/actiprobe-series.html,https://www.timtec.net/actiprobe-series.html,actiprobe-series,page,actiprobe-series,140
/actiprobe-series/print.html,https://www.timtec.net/actiprobe-series/print.html,Untitled,page,actiprobe-series/print,140
/actiprobe-2k-screening-starter-kit-library/print.html,https://www.timtec.net/actiprobe-2k-screening-starter-kit-library/print.html,Untitled,page,actiprobe-2k-screening-starter-kit-library/print,194
/actiprobe-10k-library/print.html,https://www.timtec.net/actiprobe-10k-library/print.html,Untitled,page,actiprobe-10k-library/print,150
/actiprobe-25k/print.html,https://www.timtec.net/actiprobe-25k/print.html,Untitled,page,actiprobe-25k/print,134
/actiglobe-50k/print.html,https://www.timtec.net/actiglobe-50k/print.html,Untitled,page,actiglobe-50k/print,134
/apexscreen-compound-library/print.html,https://www.timtec.net/apexscreen-compound-library/print.html,Untitled,page,apexscreen-compound-library/print,162
/bam15-st056388.html,https://www.timtec.net/bam15-st056388.html,bam15-st056388,page,bam15-st056388,137
/diversity-screening-set-10k/print.html,https://www.timtec.net/diversity-screening-set-10k/print.html,Untitled,page,diversity-screening-set-10k/print,162
/myriascreen-diversity-collection/print.html,https://www.timtec.net/myriascreen-diversity-collection/print.html,Untitled,page,myriascreen-diversity-collection/print,154
/natural-compound-library/print.html,https://www.timtec.net/natural-compound-library/print.html,Untitled,page,natural-compound-library/print,156
/hdm-inhibitor-st057529.html,https://www.timtec.net/hdm-inhibitor-st057529.html,hdm-inhibitor-st057529,page,hdm-inhibitor-st057529,153
/flavonoid-derivatives.html,https://www.timtec.net/flavonoid-derivatives.html,flavonoid-derivatives,page,flavonoid-derivatives,150
/plant-extracts.html,https://www.timtec.net/plant-extracts.html,plant-extracts,page,plant-extracts,136
/ndl-3000-natural-derivatives-library/print.html,https://www.timtec.net/ndl-3000-natural-derivatives-library/print.html,Untitled,page,ndl-3000-natural-derivatives-library/print,180
/flavonoid-derivatives/print.html,https://www.timtec.net/flavonoid-derivatives/print.html,Untitled,page,flavonoid-derivatives/print,150
/gossypol-and-derivatives/print.html,https://www.timtec.net/gossypol-and-derivatives/print.html,Untitled,page,gossypol-and-derivatives/print,156
/gossypol-and-derivatives.html,https://www.timtec.net/gossypol-and-derivatives.html,gossypol-and-derivatives,page,gossypol-and-derivatives,156
/gossypol-derivatives/print.html,https://www.timtec.net/gossypol-derivatives/print.html,Untitled,page,gossypol-derivatives/print,148
/gossypol-msds/print.html,https://www.timtec.net/gossypol-msds/print.html,Untitled,page,gossypol-msds/print,134
/gossypol-certificate-of-analysis/print.html,https://www.timtec.net/gossypol-certificate-of-analysis/print.html,Untitled,page,gossypol-certificate-of-analysis/print,172
/plant-extracts/print.html,https://www.timtec.net/plant-extracts/print.html,Untitled,page,plant-extracts/print,136
/natural-compound-library.html,https://www.timtec.net/natural-compound-library.html,natural-compound-library,page,natural-compound-library,156
/ndl-3000-natural-derivatives-library.html,https://www.timtec.net/ndl-3000-natural-derivatives-library.html,ndl-3000-natural-derivatives-library,page,ndl-3000-natural-derivatives-library,180
/plants-in-stock-from-a-to-b/print.html,https://www.timtec.net/plants-in-stock-from-a-to-b/print.html,Untitled,page,plants-in-stock-from-a-to-b/print,162
/plants-in-stock-from-c-to-f/print.html,https://www.timtec.net/plants-in-stock-from-c-to-f/print.html,Untitled,page,plants-in-stock-from-c-to-f/print,162
/plants-in-stock-from-g-to-l/print.html,https://www.timtec.net/plants-in-stock-from-g-to-l/print.html,Untitled,page,plants-in-stock-from-g-to-l/print,162
/plants-in-stock-from-m-to-r/print.html,https://www.timtec.net/plants-in-stock-from-m-to-r/print.html,Untitled,page,plants-in-stock-from-m-to-r/print,162
